Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,20_day_std,Upper_Band,Lower_Band,RSI
12/31/2019,66.78949738,67.03299713,66.60649872,66.96949768,66.80408478,19514000,77.63137512,77.87463508,2.207977081,82.04732928,73.21542096,68.46516322
1/2/2020,67.42050171,68.43399811,67.32450104,68.43399811,68.26496124,27278000,78.00912514,78.16919353,2.091398329,82.1919218,73.82632848,63.87913608
1/3/2020,67.40000153,68.6875,67.36599731,68.0759964,67.90785217,23408000,78.12362518,78.09379438,1.982898595,82.08942237,74.15782799,49.36886013
1/6/2020,67.58149719,69.91600037,67.55000305,69.89050293,69.71786499,46768000,78.26400032,78.00533786,1.792484224,81.84896877,74.67903187,42.98750522
1/7/2020,70.02300262,70.17500305,69.57800293,69.75550079,69.58320618,34330000,78.50212555,78.16792487,1.638813098,81.77975175,75.22449935,54.73960192
1/8/2020,69.74099731,70.59249878,69.63150024,70.2519989,70.07847595,35314000,78.79037552,78.37693232,1.406406966,81.60318945,75.97756159,57.61870003
1/9/2020,71.09649658,71.43399811,70.51049805,70.98950195,70.81414795,33200000,79.06562538,78.65555761,1.326249942,81.71812526,76.4131255,57.52907605
1/10/2020,71.47350311,71.74700165,70.98000336,71.44799805,71.27152252,26258000,79.19562531,78.784314,1.281848811,81.75932293,76.63192768,50.95728166
1/13/2020,71.76249695,72.0739975,71.26850128,72.00150299,71.8236618,30730000,79.33587532,78.93699809,1.249095751,81.83406682,76.83768382,53.70204004
1/14/2020,72,72.13150024,71.3884964,71.52950287,71.35282135,26076000,79.36900024,79.0289503,1.255188923,81.87937809,76.8586224,51.40294891
1/15/2020,71.65100098,72.03900146,71.58300018,71.95999908,71.78225708,21550000,79.55050049,79.29286009,1.33274168,82.21598385,76.88501713,55.37569404
1/16/2020,72.27249908,72.53500366,72,72.50800323,72.32891083,26080000,79.71962547,79.47615901,1.318126269,82.35587801,77.08337294,54.34207007
1/17/2020,73.1269989,74.02749634,72.82749939,73.97599792,73.79327393,52424000,79.84100075,79.64390606,1.34151467,82.52403009,77.15797141,62.07364748
1/21/2020,73.94999695,74.4940033,73.51049805,74.11250305,73.92944336,48930000,79.84437561,79.65401025,1.341179809,82.52673523,77.16201599,51.03198117
1/22/2020,74.4865036,75.02899933,74.13300323,74.1934967,74.01023865,28458000,79.93250046,79.77315201,1.350506284,82.63351303,77.23148789,49.41406182
1/23/2020,74.37750244,74.67500305,74.01599884,74.23449707,74.0511322,26650000,79.96500015,79.80189915,1.345462243,82.65592464,77.27407567,47.22351442
1/24/2020,74.64099884,74.70999908,73.15899658,73.3085022,73.12742615,29786000,79.88774986,79.65528942,1.398297157,82.68434418,77.09115555,53.09546581
1/27/2020,71.57700348,71.82900238,70.97499847,71.58650208,71.40968323,34132000,79.6361248,79.16859501,1.84007867,83.31628214,75.95596746,42.64044614
1/28/2020,72.08699799,72.73999786,71.51799774,72.52500153,72.34586334,29724000,79.37524948,78.48777612,2.462591745,84.30043297,74.45006599,28.36450608
1/29/2020,72.92299652,73.20700073,72.26950073,72.83499908,72.65509033,21566000,79.06224937,77.98060682,2.827119279,84.71648793,73.40801082,30.29556681
1/30/2020,71.90499878,72.76249695,71.75,72.71250153,72.53289795,27110000,78.42699928,77.06626305,3.654900138,85.73679956,71.11719901,20.78012457
1/31/2020,73.39299774,73.48349762,71.35299683,71.63899994,71.46205139,43822000,77.79562416,76.23519003,4.237231005,86.27008617,69.32116215,22.03046487
2/3/2020,73.08249664,74.31500244,72.83049774,74.12999725,73.94689178,71636000,77.66187401,76.08921949,4.292976015,86.24782604,69.07592198,39.40947863
2/4/2020,72.72450256,73.36699677,71.10150146,72.27050018,72.09198761,95880000,77.42012405,75.73119876,4.455489432,86.33110292,68.50914519,36.82014058
2/5/2020,73.18049622,73.22899628,71.48400116,72.30249786,72.12390137,36376000,77.21874886,75.72679865,4.437406577,86.09356201,68.3439357,39.87079196
2/6/2020,72.59899902,74.07800293,72.52400208,73.79850006,73.61621857,37822000,76.86212387,75.48900862,4.458016069,85.77815601,67.94609173,37.54192508
2/7/2020,73.36949921,74.26249695,73.27050018,73.95549774,73.77281952,28360000,76.40987396,75.18124587,4.442612325,85.29509861,67.52464931,36.39805699
2/10/2020,73.8615036,75.44400024,73.76000214,75.43299866,75.24668121,38302000,75.73662415,74.35850848,4.868567641,85.47375943,65.99948886,32.26586335
2/11/2020,75.66349792,76.4940033,75.27249908,75.50299835,75.3164978,34852000,75.28399925,74.07055521,4.834102355,84.95220396,65.61579454,38.29357617
2/12/2020,75.79299927,76.01499939,75.4335022,75.9315033,75.74394989,31042000,74.73174934,73.57407359,4.909025885,84.54980111,64.91369757,36.80992294
2/13/2020,75.5,76.29750061,75.19999695,75.66950226,75.48259735,22914000,73.74462414,72.47725695,5.375677471,84.49597908,62.9932692,32.94569439
2/14/2020,75.72650146,76.00250244,75.27749634,75.93650055,75.74893188,23198000,73.15837421,72.19299441,5.152532231,83.46343868,62.85330975,45.06856813
2/18/2020,75.71700287,76.52799988,75.55049896,75.97200012,75.78434753,25642000,72.12412415,71.08437606,5.509157042,83.14243823,61.10581006,40.05291506
2/19/2020,76.36000061,76.53700256,76.0490036,76.24349976,76.05517578,22746000,71.29737415,70.33491169,5.545095565,82.38756528,60.20718302,41.59306951
2/20/2020,75.95050049,76.35350037,75.21299744,75.84950256,75.66214752,25962000,70.33549919,69.50944386,5.458636696,81.25277258,59.4182258,43.99892777
2/21/2020,75.22899628,75.54750061,73.92449951,74.17299652,73.98978424,42520000,69.39149933,68.71759204,5.316339147,80.02417762,58.75882103,43.66128593
2/24/2020,71.15249634,71.81900024,70.33950043,70.99299622,70.81764221,49560000,68.34387455,67.63115483,5.536117855,79.41611026,57.27163884,33.86071148
2/25/2020,71.55000305,71.84249878,69.02100372,69.31600189,69.14479065,51580000,67.42124958,66.53223521,5.968958979,79.35916754,55.48333162,34.60242998
2/26/2020,69.74900055,70.6835022,68.82749939,69.52349854,69.35176849,49776000,66.90624981,66.07392721,5.995578273,78.89740635,54.91509326,37.30454702
2/27/2020,67.95700073,68.47000122,65.71199799,65.74749756,65.58509827,62290000,66.31712494,65.62688662,5.926966177,78.17105729,54.46319258,38.7964426
2/28/2020,63.71549988,67.12249756,63.41049957,66.96250153,66.79710388,80198000,66.12862511,65.53004034,5.917849097,77.9643233,54.29292691,43.06569353
3/2/2020,67.56950378,69.37349701,66.26000214,69.31600189,69.14479065,55430000,65.80837536,65.18765567,5.964998522,77.7383724,53.87837831,45.57842499
3/3/2020,69.88400269,70.40950012,66.46199799,66.88600159,66.72078705,56602000,65.25837536,65.04621222,5.597566254,76.45350787,54.06324285,42.22403363
3/4/2020,67.94799805,69.13899994,66.84999847,69.08000183,68.90937042,47598000,64.82050018,64.90585851,5.352430822,75.52536183,54.11563854,44.34517451
3/5/2020,67.27749634,67.6815033,65.08200073,65.73799896,65.57562256,54380000,64.04762535,64.46030065,4.787227674,73.6220807,54.47317,47.88561743
3/6/2020,63.49750137,65.13749695,62.86050034,64.78700256,64.62697601,64640000,63.44775009,64.15289089,4.303274738,72.05429957,54.84120062,38.79087587
3/9/2020,60.2480011,62.63650131,59.90200043,60.78950119,60.63934708,69252000,62.85250015,63.79094899,3.816361767,70.48522369,55.21977662,49.65259542
3/10/2020,62.7195015,63.79249954,60.7254982,63.75849915,63.60101318,54872000,62.80625,63.96490625,3.774666568,70.35558314,55.25691686,53.82716157
3/11/2020,62.41350174,62.8465004,59.55699921,60.54499817,60.39544678,54732000,62.48237495,64.04991501,3.245111331,68.97259762,55.99215229,55.21241697
3/12/2020,56.13100052,59.4375,55.42350006,55.57749939,55.44021988,94326000,62.36537514,64.28492328,3.038788516,68.44295217,56.28779811,58.37200533
3/13/2020,58.74950027,60.72000122,55.61449814,60.71350098,60.5635376,79400000,62.61237507,64.54326368,3.208476178,69.02932742,56.19542271,67.06596951
3/16/2020,54.48049927,57.27349854,53.35400009,53.65000153,53.51748276,96520000,62.55337505,64.90223857,3.083724245,68.72082354,56.38592656,71.45365705
3/17/2020,54.5320015,56.29999924,52.45500183,55.90299988,55.76491928,83194000,63.11387482,65.55559651,3.664904546,70.44368391,55.78406572,69.09038961
3/18/2020,52.99700165,55.24950027,51.84999847,54.55950165,54.42473984,93044000,63.50849972,66.08434905,4.078003853,71.66450742,55.35249201,68.27275509
3/19/2020,54.4109993,57.63050079,52.77750015,55.58349991,55.44620514,74064000,64.00874977,66.61655396,4.438046154,72.88484208,55.13265746,64.74272504
3/20/2020,56.54499817,56.92399979,53.10499954,53.41049957,53.2785759,82878000,64.48399963,67.00545329,4.625826642,73.73565292,55.23234635,69.69662265
3/23/2020,52.81850052,53.34550095,50.44350052,52.70650101,52.57631302,83672000,65.08012447,67.21755281,4.416129891,73.91238426,56.24786469,62.5968099
